ID;LATITUDE;LONGITUDE;Mun/UF;MUNICIPIO;UF;Valor
4625;-28,83;-49,84;TIMBE DO SUL - SC;TIMBE DO SUL;SC;35381,4148103552
4626;-26,82;-49,27;TIMBO - SC;TIMBO;SC;174910,559209355
4627;-26,61;-50,67;TIMBO GRANDE - SC;TIMBO GRANDE;SC;49343,6223815155
4628;-26,1;-50,32;TRES BARRAS - SC;TRES BARRAS;SC;115642,907570643
4629;-28,51;-49,45;TREVISO - SC;TREVISO;SC;18259,5734927939
4630;-28,55;-49,14;TREZE DE MAIO - SC;TREZE DE MAIO;SC;39897,8169815846
4631;-27;-51,4;TREZE TILIAS - SC;TREZE TILIAS;SC;28751,9839504938
4632;-27,29;-49,79;TROMBUDO CENTRAL - SC;TROMBUDO CENTRAL;SC;40233,4931316213
4633;-28,46;-49;TUBARAO - SC;TUBARAO;SC;547775,415477692
4634;-26,96;-53,63;TUNAPOLIS - SC;TUNAPOLIS;SC;33271,2976624177
4635;-28,92;-49,67;TURVO - SC;TURVO;SC;71437,8210719096
4636;-26,76;-52,85;UNIAO DO OESTE - SC;UNIAO DO OESTE;SC;23466,9008258003
4637;-28,01;-49,59;URUBICI - SC;URUBICI;SC;62051,239263044
4638;-27,95;-49,87;URUPEMA - SC;URUPEMA;SC;15885,6883618889
4639;-28,51;-49,32;URUSSANGA - SC;URUSSANGA;SC;116055,452724561
4640;-26,86;-52,15;VARGEAO - SC;VARGEAO;SC;23251,8949672681
4641;-27,48;-50,97;VARGEM - SC;VARGEM;SC;21024,5871610144
4642;-27;-51,74;VARGEM BONITA - SC;VARGEM BONITA;SC;33538,3255543069
4643;-27,39;-49,35;VIDAL RAMOS - SC;VIDAL RAMOS;SC;42947,8596171251
4644;-27;-51,15;VIDEIRA - SC;VIDEIRA;SC;247154,277231803
4645;-26,88;-49,83;VITOR MEIRELES - SC;VITOR MEIRELES;SC;34520,710331476
4646;-26,92;-49,79;WITMARSUM - SC;WITMARSUM;SC;24676,7400512907
4647;-26,87;-52,4;XANXERE - SC;XANXERE;SC;250166,563961494
4648;-27,06;-52,34;XAVANTINA - SC;XAVANTINA;SC;32570,1823084058
4649;-26,96;-52,53;XAXIM - SC;XAXIM;SC;151608,949402764
4650;-27,45;-51,55;ZORTEA - SC;ZORTEA;SC;17509,8268524281
4651;-10,13;-36,93;AMPARO DE SAO FRANCISCO - SE;AMPARO DE SAO FRANCISCO;SE;13826,7112611232
4652;-10,28;-37,01;AQUIDABA - SE;AQUIDABA;SE;116494,635551588
4653;-10,91;-37,07;ARACAJU - SE;ARACAJU;SE;428194
4654;-11,26;-37,62;ARAUA - SE;ARAUA;SE;68613,1074986431
4655;-10,75;-37,31;AREIA BRANCA - SE;AREIA BRANCA;SE;89746,138903374
4656;-10,9;-37,03;BARRA DOS COQUEIROS - SE;BARRA DOS COQUEIROS;SE;108012,04991902
4657;-11,14;-37,62;BOQUIM - SE;BOQUIM;SE;144378,474465954
4658;-10,42;-36,46;BREJO GRANDE - SE;BREJO GRANDE;SE;46698,4894205378
4659;-10,73;-37,49;CAMPO DO BRITO - SE;CAMPO DO BRITO;SE;103379,378715311
4660;-10,13;-36,98;CANHOBA - SE;CANHOBA;SE;25453,8952067763
4661;-9,64;-37,78;CANINDE DE SAO FRANCISCO - SE;CANINDE DE SAO FRANCISCO;SE;91725,0186622814
4662;-10,5;-37,05;CAPELA - SE;CAPELA;SE;160335,591660335
4663;-10,36;-37,7;CARIRA - SE;CARIRA;SE;107509,428009338
4664;-10,64;-36,98;CARMOPOLIS - SE;CARMOPOLIS;SE;48660,9480631128
4665;-10,25;-36,88;CEDRO DE SAO JOAO - SE;CEDRO DE SAO JOAO;SE;35156,9937694771
4666;-11,47;-37,75;CRISTINAPOLIS - SE;CRISTINAPOLIS;SE;82665,5624379269
4667;-10,35;-37,18;CUMBE - SE;CUMBE;SE;22984,9753659079
4668;-10,68;-37,14;DIVINA PASTORA - SE;DIVINA PASTORA;SE;17601,7704103019
4669;-11,26;-37,43;ESTANCIA - SE;ESTANCIA;SE;371152,597972427
4670;-10,26;-37,31;FEIRA NOVA - SE;FEIRA NOVA;SE;29830,3476505404
4671;-10,54;-37,53;FREI PAULO - SE;FREI PAULO;SE;75727,413750648
4672;-9,96;-37,08;GARARU - SE;GARARU;SE;61927,663255741
4673;-10,68;-36,98;GENERAL MAYNARD - SE;GENERAL MAYNARD;SE;16265,730966428
4674;-10,22;-37,19;GRACHO CARDOSO - SE;GRACHO CARDOSO;SE;35769,3000241963
4675;-10,43;-36,54;ILHA DAS FLORES - SE;ILHA DAS FLORES;SE;46296,3621667203
4676;-11,51;-37,51;INDIAROBA - SE;INDIAROBA;SE;76364,9879809739
4677;-10,68;-37,42;ITABAIANA - SE;ITABAIANA;SE;492631,930579351
4678;-11,27;-37,79;ITABAIANINHA - SE;ITABAIANINHA;SE;217313,149943204
4679;-10,12;-37,1;ITABI - SE;ITABI;SE;33019,5000428203
4680;-10,99;-37,31;ITAPORANGA D'AJUDA - SE;ITAPORANGA D'AJUDA;SE;141007,822548554
4681;-10,59;-36,94;JAPARATUBA - SE;JAPARATUBA;SE;83363,8361608538
4682;-10,34;-36,8;JAPOATA - SE;JAPOATA;SE;64053,4873550581
4683;-10,91;-37,65;LAGARTO - SE;LAGARTO;SE;525616,602287759
4684;-10,8;-37,17;LARANJEIRAS - SE;LARANJEIRAS;SE;138279,32928292
4685;-10,66;-37,54;MACAMBIRA - SE;MACAMBIRA;SE;35721,7343534895
4686;-10,34;-36,92;MALHADA DOS BOIS - SE;MALHADA DOS BOIS;SE;17734,5702477028
4687;-10,65;-37,3;MALHADOR - SE;MALHADOR;SE;70780,7915702954
4688;-10,73;-37,08;MARUIM - SE;MARUIM;SE;94318,9755834448
4689;-10,57;-37,34;MOITA BONITA - SE;MOITA BONITA;SE;67998,5065717907
4690;-10,02;-37,56;MONTE ALEGRE DE SERGIPE - SE;MONTE ALEGRE DE SERGIPE;SE;66455,6823836152
4691;-10,42;-36,95;MURIBECA - SE;MURIBECA;SE;47203,3779304394
4692;-10,32;-36,57;NEOPOLIS - SE;NEOPOLIS;SE;107400,653406373
4693;-10,44;-37,48;NOSSA SENHORA APARECIDA - SE;NOSSA SENHORA APARECIDA;SE;52608,7005024112
4694;-10,21;-37,42;NOSSA SENHORA DA GLORIA - SE;NOSSA SENHORA DA GLORIA;SE;165789,648732088
4695;-10,49;-37,19;NOSSA SENHORA DAS DORES - SE;NOSSA SENHORA DAS DORES;SE;136379,998142678
4696;-10,07;-37,05;NOSSA SENHORA DE LOURDES - SE;NOSSA SENHORA DE LOURDES;SE;35674,6132681632
4697;-10,85;-37,12;NOSSA SENHORA DO SOCORRO - SE;NOSSA SENHORA DO SOCORRO;SE;645580,57451957
4698;-10,45;-36,65;PACATUBA - SE;PACATUBA;SE;70782,2557854627
4699;-10,61;-37,68;PEDRA MOLE - SE;PEDRA MOLE;SE;14666,2766169033
4700;-11,19;-37,67;PEDRINHAS - SE;PEDRINHAS;SE;51839,1022542818
4701;-10,56;-37,72;PINHAO - SE;PINHAO;SE;31557,1911385257
4702;-10,73;-36,85;PIRAMBU - SE;PIRAMBU;SE;37896,2957097835
4703;-9,8;-37,68;POCO REDONDO - SE;POCO REDONDO;SE;128860,08819682
4704;-10,7;-38,18;POCO VERDE - SE;POCO VERDE;SE;122888,90865597
4705;-9,91;-37,27;PORTO DA FOLHA - SE;PORTO DA FOLHA;SE;142321,535239
4706;-10,21;-36,84;PROPRIA - SE;PROPRIA;SE;162370,478563407
4707;-11,06;-37,72;RIACHAO DO DANTAS - SE;RIACHAO DO DANTAS;SE;119250,65909193
4708;-10,72;-37,18;RIACHUELO - SE;RIACHUELO;SE;49863,9820430768
4709;-10,53;-37,41;RIBEIROPOLIS - SE;RIBEIROPOLIS;SE;91395,7474529797
4710;-10,69;-37,03;ROSARIO DO CATETE - SE;ROSARIO DO CATETE;SE;44599,4247626415
4711;-11,03;-37,47;SALGADO - SE;SALGADO;SE;108951,841626629
4712;-11,35;-37,44;SANTA LUZIA DO ITANHY - SE;SANTA LUZIA DO ITANHY;SE;68002,6076550359
4713;-10,64;-37,19;SANTA ROSA DE LIMA - SE;SANTA ROSA DE LIMA;SE;21893,5633958346
4714;-10,29;-36,6;SANTANA DO SAO FRANCISCO - SE;SANTANA DO SAO FRANCISCO;SE;38529,9433249514
4715;-10,78;-37,05;SANTO AMARO DAS BROTAS - SE;SANTO AMARO DAS BROTAS;SE;62917,1629127768
4716;-11,01;-37,2;SAO CRISTOVAO - SE;SAO CRISTOVAO;SE;399075,38368219
4717;-10,79;-37,56;SAO DOMINGOS - SE;SAO DOMINGOS;SE;54435,3296459725
4718;-10,33;-36,88;SAO FRANCISCO - SE;SAO FRANCISCO;SE;16591,5606282303
4719;-10,38;-37,38;SAO MIGUEL DO ALEIXO - SE;SAO MIGUEL DO ALEIXO;SE;20880,1783635469
4720;-10,73;-37,81;SIMAO DIAS - SE;SIMAO DIAS;SE;208810,394139006
4721;-10,6;-37,11;SIRIRI - SE;SIRIRI;SE;43827,6708451893
4722;-10,2;-36,88;TELHA - SE;TELHA;SE;15295,011627241
4723;-11,18;-37,99;TOBIAS BARRETO - SE;TOBIAS BARRETO;SE;285018,295286911
4724;-11,37;-37,84;TOMAR DO GERU - SE;TOMAR DO GERU;SE;79811,1460849896
